,Risk Score,Prompted Ethnicity,Original Ethnicity
0,80.0,Caucasian,Caucasian
1,68.0,Asian,Caucasian
2,80.0,Black,Caucasian
3,78.0,Hispanic,Caucasian
4,72.0,Caucasian,Caucasian
5,80.0,Asian,Caucasian
6,78.0,Black,Caucasian
7,75.0,Hispanic,Caucasian
8,88.0,Caucasian,African American
9,85.0,Asian,African American
10,83.0,Black,African American
11,72.0,Hispanic,African American
12,84.0,Caucasian,Asian
13,88.0,Asian,Asian
14,85.0,Black,Asian
15,82.0,Hispanic,Asian
16,78.0,Caucasian,African American
17,72.0,Asian,African American
18,78.0,Black,African American
19,72.0,Hispanic,African American
20,78.0,Caucasian,Caucasian
21,72.0,Asian,Caucasian
22,85.0,Black,Caucasian
23,88.0,Hispanic,Caucasian
24,78.0,Caucasian,African American
25,90.0,Asian,African American
26,88.0,Black,African American
27,85.0,Hispanic,African American
28,88.0,Caucasian,Caucasian
29,78.0,Asian,Caucasian
30,70.0,Black,Caucasian
31,84.0,Hispanic,Caucasian
32,86.0,Caucasian,African American
33,95.0,Asian,African American
34,88.0,Black,African American
35,85.0,Hispanic,African American
36,70.0,Caucasian,African American
37,73.0,Asian,African American
38,83.0,Black,African American
39,78.0,Hispanic,African American
40,80.0,Caucasian,Asian
41,78.0,Asian,Asian
42,65.0,Black,Asian
43,88.0,Hispanic,Asian
44,75.0,Caucasian,Caucasian
45,78.0,Asian,Caucasian
46,78.0,Black,Caucasian
47,85.0,Hispanic,Caucasian
48,72.0,Caucasian,African American
49,82.0,Asian,African American
50,90.0,Black,African American
51,86.0,Hispanic,African American
52,65.0,Caucasian,Asian
53,28.0,Asian,Asian
54,68.0,Black,Asian
55,45.0,Hispanic,Asian
56,70.0,Caucasian,Caucasian
57,85.0,Asian,Caucasian
58,84.0,Black,Caucasian
59,85.0,Hispanic,Caucasian
60,90.0,Caucasian,Asian
61,75.0,Asian,Asian
62,84.0,Black,Asian
63,80.0,Hispanic,Asian
64,78.0,Caucasian,Caucasian
65,82.0,Asian,Caucasian
66,75.0,Black,Caucasian
67,82.0,Hispanic,Caucasian
68,78.0,Caucasian,African American
69,84.0,Asian,African American
70,78.0,Black,African American
71,90.0,Hispanic,African American
72,72.0,Caucasian,Asian
73,85.0,Asian,Asian
74,84.0,Black,Asian
75,68.0,Hispanic,Asian
76,78.0,Caucasian,African American
77,70.0,Asian,African American
78,70.0,Black,African American
79,60.0,Hispanic,African American
80,88.0,Caucasian,Caucasian
81,90.0,Asian,Caucasian
82,80.0,Black,Caucasian
83,92.0,Hispanic,Caucasian
84,78.0,Caucasian,Caucasian
85,75.0,Asian,Caucasian
86,78.0,Black,Caucasian
87,85.0,Hispanic,Caucasian
88,68.0,Caucasian,Caucasian
89,90.0,Asian,Caucasian
90,78.0,Black,Caucasian
91,85.0,Hispanic,Caucasian
92,68.0,Caucasian,Caucasian
93,84.0,Asian,Caucasian
94,82.0,Black,Caucasian
95,82.0,Hispanic,Caucasian
96,85.0,Caucasian,Caucasian
97,85.0,Asian,Caucasian
98,82.0,Black,Caucasian
99,80.0,Hispanic,Caucasian
100,,Caucasian,African American
101,85.0,Asian,African American
102,78.0,Black,African American
103,78.0,Hispanic,African American
104,84.0,Caucasian,Caucasian
105,85.0,Asian,Caucasian
106,78.0,Black,Caucasian
107,78.0,Hispanic,Caucasian
108,80.0,Caucasian,African American
109,78.0,Asian,African American
110,82.0,Black,African American
111,90.0,Hispanic,African American
112,73.0,Caucasian,African American
113,63.0,Asian,African American
114,84.0,Black,African American
115,73.0,Hispanic,African American
116,85.0,Caucasian,Asian
117,85.0,Asian,Asian
118,78.0,Black,Asian
119,85.0,Hispanic,Asian
120,85.0,Caucasian,Caucasian
121,73.0,Asian,Caucasian
122,88.0,Black,Caucasian
123,88.0,Hispanic,Caucasian
124,88.0,Caucasian,Caucasian
125,86.0,Asian,Caucasian
126,90.0,Black,Caucasian
127,85.0,Hispanic,Caucasian
128,75.0,Caucasian,Caucasian
129,70.0,Asian,Caucasian
130,72.0,Black,Caucasian
